REF_DATE,GEO,Products and product groups,VALUE
2020-07,Canada,Household textiles,120.4
2020-08,Canada,Household textiles,118.8
2020-09,Canada,Household textiles,120.5
2020-10,Canada,Household textiles,121.3
2020-11,Canada,Household textiles,121.2
2020-07,Canada,Household appliances,87.9
2020-08,Canada,Household appliances,88.7
2020-09,Canada,Household appliances,89.0
2020-10,Canada,Household appliances,89.1
2020-11,Canada,Household appliances,88.3
2020-07,Canada,"Non-electric kitchen utensils, tableware and cookware",80.0
2020-08,Canada,"Non-electric kitchen utensils, tableware and cookware",84.9
2020-09,Canada,"Non-electric kitchen utensils, tableware and cookware",84.9
2020-10,Canada,"Non-electric kitchen utensils, tableware and cookware",86.1
2020-11,Canada,"Non-electric kitchen utensils, tableware and cookware",81.5
2020-07,Canada,Tools and other household equipment,96.1
2020-08,Canada,Tools and other household equipment,96.8
2020-09,Canada,Tools and other household equipment,96.8
2020-10,Canada,Tools and other household equipment,96.4
2020-11,Canada,Tools and other household equipment,97.2
2020-07,Canada,Services related to household furnishings and equipment,193.6
2020-08,Canada,Services related to household furnishings and equipment,193.6
2020-09,Canada,Services related to household furnishings and equipment,193.6
2020-10,Canada,Services related to household furnishings and equipment,193.6
2020-11,Canada,Services related to household furnishings and equipment,196.6
2020-07,Canada,Clothing and footwear,92.3
2020-08,Canada,Clothing and footwear,93.6
2020-09,Canada,Clothing and footwear,94.6
2020-10,Canada,Clothing and footwear,95.5
2020-11,Canada,Clothing and footwear,96.4
2020-07,Canada,Women's clothing,76.2
2020-08,Canada,Women's clothing,77.2
2020-09,Canada,Women's clothing,78.6
2020-10,Canada,Women's clothing,79.7
2020-11,Canada,Women's clothing,81.1
2020-07,Canada,Men's clothing,90.0
2020-08,Canada,Men's clothing,91.9
2020-09,Canada,Men's clothing,92.6
2020-10,Canada,Men's clothing,92.6
2020-11,Canada,Men's clothing,93.6
2020-07,Canada,Children's clothing,76.4
2020-08,Canada,Children's clothing,76.3
2020-09,Canada,Children's clothing,75.2
2020-10,Canada,Children's clothing,78.8
2020-11,Canada,Children's clothing,79.2
2020-07,Canada,Footwear,91.5
2020-08,Canada,Footwear,92.6
2020-09,Canada,Footwear,94.1
2020-10,Canada,Footwear,94.9
2020-11,Canada,Footwear,94.0
2020-07,Canada,"Clothing accessories, watches and jewellery",140.4
2020-08,Canada,"Clothing accessories, watches and jewellery",144.4
2020-09,Canada,"Clothing accessories, watches and jewellery",145.4
2020-10,Canada,"Clothing accessories, watches and jewellery",144.7
2020-11,Canada,"Clothing accessories, watches and jewellery",147.2
2020-07,Canada,Clothing material and notions,127.0
2020-08,Canada,Clothing material and notions,127.0
2020-09,Canada,Clothing material and notions,127.0
2020-10,Canada,Clothing material and notions,127.0
2020-11,Canada,Clothing material and notions,127.0
2020-07,Canada,Laundry services,144.3
2020-08,Canada,Laundry services,145.0
2020-09,Canada,Laundry services,145.0
2020-10,Canada,Laundry services,145.0
2020-11,Canada,Laundry services,146.6
2020-07,Canada,Dry cleaning services,172.6
2020-08,Canada,Dry cleaning services,173.7
2020-09,Canada,Dry cleaning services,173.7
2020-10,Canada,Dry cleaning services,173.7
2020-11,Canada,Dry cleaning services,174.4
2020-07,Canada,Other clothing services,170.5
2020-08,Canada,Other clothing services,171.5
2020-09,Canada,Other clothing services,171.5
2020-10,Canada,Other clothing services,171.5
2020-11,Canada,Other clothing services,172.1
2020-07,Canada,Transportation,144.3
2020-08,Canada,Transportation,143.2
2020-09,Canada,Transportation,142.7
2020-10,Canada,Transportation,143.4
2020-11,Canada,Transportation,143.5
2020-07,Canada,Purchase of passenger vehicles,108.4
2020-08,Canada,Purchase of passenger vehicles,107.3
2020-09,Canada,Purchase of passenger vehicles,107.0
2020-10,Canada,Purchase of passenger vehicles,108.4
2020-11,Canada,Purchase of passenger vehicles,108.8
2020-07,Canada,Leasing of passenger vehicles,102.2
2020-08,Canada,Leasing of passenger vehicles,101.1
2020-09,Canada,Leasing of passenger vehicles,100.9
2020-10,Canada,Leasing of passenger vehicles,102.0
2020-11,Canada,Leasing of passenger vehicles,102.5
2020-07,Canada,Rental of passenger vehicles,111.8
2020-08,Canada,Rental of passenger vehicles,111.8
2020-09,Canada,Rental of passenger vehicles,121.6
2020-10,Canada,Rental of passenger vehicles,121.6
2020-11,Canada,Rental of passenger vehicles,121.6
2020-07,Canada,Gasoline,153.1
2020-08,Canada,Gasoline,151.9
2020-09,Canada,Gasoline,151.3
2020-10,Canada,Gasoline,149.0
2020-11,Canada,Gasoline,146.8
2020-07,Canada,"Passenger vehicle parts, maintenance and repairs",150.1
2020-08,Canada,"Passenger vehicle parts, maintenance and repairs",150.1
2020-09,Canada,"Passenger vehicle parts, maintenance and repairs",150.1
2020-10,Canada,"Passenger vehicle parts, maintenance and repairs",150.6
2020-11,Canada,"Passenger vehicle parts, maintenance and repairs",150.6
2020-07,Canada,Passenger vehicle insurance premiums,197.6
2020-08,Canada,Passenger vehicle insurance premiums,198.1
2020-09,Canada,Passenger vehicle insurance premiums,196.3
2020-10,Canada,Passenger vehicle insurance premiums,197.8
2020-11,Canada,Passenger vehicle insurance premiums,198.0
2020-07,Canada,Passenger vehicle registration fees,139.9
2020-08,Canada,Passenger vehicle registration fees,139.9
2020-09,Canada,Passenger vehicle registration fees,139.9
2020-10,Canada,Passenger vehicle registration fees,139.9
2020-11,Canada,Passenger vehicle registration fees,139.9
2020-07,Canada,Drivers' licences,174.5
2020-08,Canada,Drivers' licences,174.5
2020-09,Canada,Drivers' licences,174.5
2020-10,Canada,Drivers' licences,174.5
2020-11,Canada,Drivers' licences,174.5
2020-07,Canada,Parking fees,200.3
2020-08,Canada,Parking fees,200.3
2020-09,Canada,Parking fees,200.2
2020-10,Canada,Parking fees,200.3
2020-11,Canada,Parking fees,200.3
2020-07,Canada,All other passenger vehicle operating expenses,144.7
2020-08,Canada,All other passenger vehicle operating expenses,144.7
2020-09,Canada,All other passenger vehicle operating expenses,144.7
2020-10,Canada,All other passenger vehicle operating expenses,155.2
2020-11,Canada,All other passenger vehicle operating expenses,155.2
2020-07,Canada,City bus and subway transportation,175.0
2020-08,Canada,City bus and subway transportation,175.0
2020-09,Canada,City bus and subway transportation,175.0
2020-10,Canada,City bus and subway transportation,175.0
2020-11,Canada,City bus and subway transportation,175.0
2020-07,Canada,Taxi and other local and commuter transportation services,146.9
2020-08,Canada,Taxi and other local and commuter transportation services,146.5
2020-09,Canada,Taxi and other local and commuter transportation services,146.5
2020-10,Canada,Taxi and other local and commuter transportation services,146.5
2020-11,Canada,Taxi and other local and commuter transportation services,146.5
2020-07,Canada,Air transportation,176.4
2020-08,Canada,Air transportation,166.5
2020-09,Canada,Air transportation,156.4
2020-10,Canada,Air transportation,157.7
2020-11,Canada,Air transportation,162.2
2020-07,Canada,"Rail, highway bus and other inter-city transportation",138.6
2020-08,Canada,"Rail, highway bus and other inter-city transportation",139.1
2020-09,Canada,"Rail, highway bus and other inter-city transportation",139.4
2020-10,Canada,"Rail, highway bus and other inter-city transportation",140.1
2020-11,Canada,"Rail, highway bus and other inter-city transportation",140.1
2020-07,Canada,Health and personal care,128.4
2020-08,Canada,Health and personal care,128.9
2020-09,Canada,Health and personal care,129.1
2020-10,Canada,Health and personal care,129.6
2020-11,Canada,Health and personal care,130.0
2020-07,Canada,Medicinal and pharmaceutical products,102.9
2020-08,Canada,Medicinal and pharmaceutical products,102.0
2020-09,Canada,Medicinal and pharmaceutical products,101.0
2020-10,Canada,Medicinal and pharmaceutical products,100.9
2020-11,Canada,Medicinal and pharmaceutical products,100.8
2020-07,Canada,Eye care goods,117.1
2020-08,Canada,Eye care goods,115.8
2020-09,Canada,Eye care goods,116.2
2020-10,Canada,Eye care goods,116.7
2020-11,Canada,Eye care goods,117.1
2020-07,Canada,Other health care goods,120.4
2020-08,Canada,Other health care goods,116.7
2020-09,Canada,Other health care goods,115.5
2020-10,Canada,Other health care goods,120.7
2020-11,Canada,Other health care goods,122.2
2020-07,Canada,Eye care services (200704=100),139.3
2020-08,Canada,Eye care services (200704=100),139.3
2020-09,Canada,Eye care services (200704=100),139.3
2020-10,Canada,Eye care services (200704=100),139.3
2020-11,Canada,Eye care services (200704=100),142.5
2020-07,Canada,Dental care services,170.1
2020-08,Canada,Dental care services,170.1
2020-09,Canada,Dental care services,171.6
2020-10,Canada,Dental care services,171.6
2020-11,Canada,Dental care services,171.6
2020-07,Canada,Other health care services,188.6
2020-08,Canada,Other health care services,188.6
2020-09,Canada,Other health care services,193.9
2020-10,Canada,Other health care services,193.9
2020-11,Canada,Other health care services,193.9
2020-07,Canada,Personal care supplies and equipment,105.6
2020-08,Canada,Personal care supplies and equipment,105.3
2020-09,Canada,Personal care supplies and equipment,105.7
2020-10,Canada,Personal care supplies and equipment,106.6
2020-11,Canada,Personal care supplies and equipment,107.2
2020-07,Canada,Personal care services,156.7
2020-08,Canada,Personal care services,165.3
2020-09,Canada,Personal care services,165.3
2020-10,Canada,Personal care services,165.3
2020-11,Canada,Personal care services,166.1
2020-07,Canada,"Recreation, education and reading",116.4
2020-08,Canada,"Recreation, education and reading",116.3
2020-09,Canada,"Recreation, education and reading",116.8
2020-10,Canada,"Recreation, education and reading",116.0
2020-11,Canada,"Recreation, education and reading",115.3
2020-07,Canada,Sporting and exercise equipment,90.7
2020-08,Canada,Sporting and exercise equipment,89.1
2020-09,Canada,Sporting and exercise equipment,90.9
2020-10,Canada,Sporting and exercise equipment,86.9
2020-11,Canada,Sporting and exercise equipment,87.0
2020-07,Canada,"Toys, games (excluding video games) and hobby supplies",91.3
2020-08,Canada,"Toys, games (excluding video games) and hobby supplies",92.0
2020-09,Canada,"Toys, games (excluding video games) and hobby supplies",90.6
